au,af,ti,ab,so,py,vl,is,de,id,nr,tc,z9,u1,u2,pu,pi,pa,sn,ei,bn,j9,ji,pd,di,ga,ut,ty,cy
"Brown, G","Brown, Gustav",DOES FRAMING MATTER? INSTITUTIONAL CONSTRAINTS ON FRAMING IN TWO CASES OF INTRASTATE VIOLENCE,"A popular current within frame theory holds that frames are more likely to ""succeed"" when they align with dominant representations of the political environment. These ""master frames"" are conceptualized as either endogenous to the protest cycle or as products of the political opportunity structure. In contrast, this article utilizes two cases of intrastate violence in 1990s Indonesia-""ethnic"" violence in the province of West Kalimantan and ""religious"" violence in the city of Ambon-to show how long-term institutional processes constrain framing. Local institutions shaped both the perceived relevance of specific cleavages and the organizational resources available to frame articulators-each key to framing outcomes. How the resultant frames aligned with the institutional (religious) cleavage at the level of the state then shaped the alliances available to relevant actors. This suggests the need to reposition framing as a fundamentally institutional process, and as institutionally constrained on multiple levels of social organization.",MOBILIZATION,2014,19,2,,PATH DEPENDENCE; INDONESIA; MOVEMENTS,104,2,2,0,7,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,JUN,,AW1GF,WOS:000346037600002,4,.5
"Vasseur, M","Vasseur, Michael",Convergence and Divergence in Renewable Energy Policy among US States from 1998 to 2011,"Actors at the state level in the United States are attentive to the actions of others in their broader political context when enacting policies. For all that is known about the diffusion of policies in a political context, less is understood about why some states ultimately end up with policies that are similar in structure, but vastly different in content. Do the forces that drive states to policy action also shape the content of the enacted policies? Examining the case of renewable energy policy among US states over a fourteen-year period, this paper addresses this question using event history analysis and an original longitudinal data set of state political and economic characteristics. State's energy economy, the presence of Democratic politicians, and environmental movement organizations are found to be important for determining the kind of policy a state ultimately enacts, while regional policy adoption explains why some states choose to enact largely symbolic renewable energy policies. Policy adoption should be conceptualized as a multifaceted process, with different factors acting as the impetus for action and others shaping the content of the policy. Understanding the nuanced roles of state characteristics and policy diffusion in the policy adoption process requires avoiding binary outcomes of passage or inaction in favor of simultaneously examining both policy action and policy content.",SOCIAL FORCES,2014,92,4,,ENVIRONMENTAL MOVEMENT ORGANIZATIONS; HATE CRIME LAW; UNITED-STATES; SOCIAL-MOVEMENTS; ELECTRICITY POLICIES; INSTITUTIONAL CHANGE; PORTFOLIO STANDARDS; AMERICAN STATES; DIFFUSION; REFORM,78,5,5,1,24,OXFORD UNIV PRESS INC,CARY,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0037-7732,1534-7605,,SOC FORCES,Soc. Forces,JUN,10.1093/sf/sou011,AH8TT,WOS:000336411800015,4,1.25
"Walker, HA; Willer, D","Walker, Henry A.; Willer, David",Legitimizing Collective Action and Countervailing Power,"Contemporary social movement researchers claim that legitimizing elements of social movements can counteract collective action problems and increase the likelihood that self-interested individuals take collective rather than individual action. Their work is insightful and informative, but it rarely uses general theory to describe the processes through which movement elements acquire legitimacy. Nor does it apply general theory to describe the mechanisms or processes through which legitimized elements influence collective action. The laboratory experiments reported in this article test hypotheses derived from a general theory-the multiple-sources, multiple-objects theory of legitimacy. The experiments examine the effects that legitimacy (measured as peer endorsement) and network size have on coalition formation, a form of collective action, and the countervailing of power. The research finds support for the legitimacy arguments. Low-power actors form coalitions more often in networks that highly endorse coalition formation and in smaller networks. Coalitions countervail power, and coalitions in the smallest networks reverse power.",SOCIAL FORCES,2014,92,3,,SOCIAL-MOVEMENTS; LEGITIMACY; EXCHANGE; RIGHTS; GAMES,56,1,1,0,11,OXFORD UNIV PRESS INC,CARY,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0037-7732,1534-7605,,SOC FORCES,Soc. Forces,MAR,10.1093/sf/sot116,AB0FI,WOS:000331466800015,4,.25
"Santoro, WA; Broidy, L","Santoro, Wayne A.; Broidy, Lisa",Gendered Rioting: A General Strain Theoretical Approach,"An under-analyzed and under-theorized aspect of riot participation is its highly gendered character: Men typically are more likely than women to riot or be willing to riot. To account for this gender-violence link, we look beyond the social-movement literature by drawing on general strain theory within criminology. Using survey data of blacks taken during the peak of rioting in 1968, multivariate analyses support several hypotheses derived from general strain theory. One reason why black men are more likely than black women to riot is that men report much higher levels of police mistreatment and such individual-level strains are a strong predictor of riot participation. Because violence conflicts with gendered behavioral expectations and related socialization processes for women, we also find that women require high levels of a particular violence-inducing emotion (disappointment about racial progress) to be equally likely as men to be riot participants. These observations call for greater attention to micro-level strain and related emotions in the study of social-movement processes. Results also highlight the continued relevance of selective aspects of breakdown theories of the 1950s and 1960s. We conclude by speculating that the link between gender and rioting helps us understand why authorities and third parties reacted in such harsh and unsympathetic ways to the civil rights movement in the late 1960s.",SOCIAL FORCES,2014,93,1,,CIVIL-RIGHTS-MOVEMENT; LOS-ANGELES RIOT; SOCIAL-MOVEMENTS; COLLECTIVE ACTION; UNITED-STATES; CRIME; DELINQUENCY; ATTITUDES; VIOLENCE; PROTEST,92,4,4,0,14,OXFORD UNIV PRESS INC,CARY,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0037-7732,1534-7605,,SOC FORCES,Soc. Forces,SEP,10.1093/sf/sou035,AQ7JG,WOS:000342988400042,4,1
"Roychowdhury, P","Roychowdhury, Poulami","Brothers and Others: Organizing Masculinity, Disorganizing Workers","Sociologists have long argued that hegemonic masculinity serves as an organizing tool, uniting men around a collective identity by excluding women and subordinate men. This article reformulates existing theories by analyzing organizing drives among an occupationally segregated, ethnically diverse group of men. Ten months of participant observation and 30 in-depth interviews with street vendors in New York City revealed how the exclusionary processes involved in constructing a collective gendered identity can disrupt solidarity and collective action. Organizers attempted to orient members around ""brotherhood"" in a context where disparate cultural histories and occupational networks shaped interpretive disagreements over masculinity. These interpretive disagreements eventually alienated members and undermined mobilization. Organizational failures such as these allude to the limits social movements face in manipulating gender for institutional purposes. These limits may be especially relevant for resource poor, voluntary organizations that preside over a heterogeneous base.",SOCIAL PROBLEMS,2014,61,1,masculinities; social organization; intersectionaliiy; collective identity; boundary work,HEGEMONIC MASCULINITY; SOCIAL-MOVEMENTS; GENDER; MEN; IDENTITY; INTERSECTIONALITY; REPRODUCTION; BOUNDARIES; POLITICS; VIOLENCE,78,0,0,2,13,OXFORD UNIV PRESS INC,CARY,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0037-7791,1533-8533,,SOC PROBL,Soc. Probl.,FEB,10.1525/sp.2013.12021,300VQ,WOS:000330492500002,4,0
"Whittier, N","Whittier, Nancy","Rethinking Coalitions: Anti-Pornography Feminists, Conservatives, and Relationships between Collaborative Adversarial Movements","Social movements interact in a wide range of ways, yet we have only a few concepts for thinking about these interactions: coalition, spillover, and opposition. Many social movements interact with each other as neither coalition partners nor opposing movements. In this article, I argue that we need to think more broadly and precisely about the relationships between movements and suggest a framework for conceptualizing noncoalitional interaction between movements. Although social movements scholars have not theorized such interactions, ""strange bedfellows"" are not uncommon. They differ from coalitions in form, dynamics, relationship to larger movements, and consequences. I first distinguish types of relationships between movements based on extent of interaction and ideological congruence and describe the relationship between collaborating, ideologically opposed movements, which I call ""collaborative adversarial relationships."" Second, I differentiate among the dimensions along which social movements may interact and outline the range of forms that collaborative adversarial relationships may take. Third, I theorize factors that influence collaborative adversarial relationships' development over time, the effects on participants, and consequences for larger movements, in contrast to coalitions. I draw on the case of the relationship between anti-pornography feminists and conservatives during the 1980s, charting the dynamics of their interaction across arenas and over time.",SOCIAL PROBLEMS,2014,61,2,social movements; women's movement; pornography; coalitions; conservatism,SOCIAL-MOVEMENT; POLITICAL OPPORTUNITY; POLICY PROCESS; HEARINGS; RIGHTS; ORGANIZATIONS; PROTEST; WOMENS,68,9,9,0,13,OXFORD UNIV PRESS INC,CARY,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0037-7791,1533-8533,,SOC PROBL,Soc. Probl.,MAY,10.1525/sp.2014.12151,AG7OU,WOS:000335608300002,4,2.25
"Porter, JR; Howell, FM; Hempel, LM","Porter, Jeremy R.; Howell, Frank M.; Hempel, Lynn M.",Old Times Are Not Forgotten: The Institutionalization of Segregationist Academies in the American South,"Brown v. Board of Education is considered a crowning achievement of racial equality yet, to date, there remains marked racial segregation in U.S. public schools. One explanation for continuing segregation lies in the reproduction of racialized institutions initially designed to preserve the color line. In this article, we examine the persistence of one such institution, drawing on historical institutionalism and rational choice theory to identify forces potentially linked to the reproduction of segregationist academies in the South. Using spatial analyses of National Center for Education Statistics (NCES) data on public and private schools, we observe a process of the elite preservation of hierarchical advantage with linkages to former plantation economies, a legacy of lynching, and organization of white countermovement groups in response to civil rights mobilization. The findings highlight the reproduction of racialized institutions through organizational creation and adaptation and underscore the continuing relevance of spatial and temporal context in shaping specific manifestations of the color line.",SOCIAL PROBLEMS,2014,61,4,segregation; race; education; mobilization; social movement,PUBLIC-SCHOOL ENROLLMENT; WHITE FLIGHT; RACIAL VIOLENCE; HISTORICAL INSTITUTIONALISM; PRIVATE SCHOOLS; PATH DEPENDENCE; LEVEL ANALYSIS; UNITED-STATES; DESEGREGATION; EDUCATION,143,6,6,5,19,OXFORD UNIV PRESS INC,CARY,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0037-7791,1533-8533,,SOC PROBL,Soc. Probl.,NOV,10.1525/sp.2014.11155,AR5NL,WOS:000343631100004,4,1.5
"Enriquez, LE","Enriquez, Laura E.","Undocumented and Citizen Students Unite"": Building a Cross-Status Coalition through Shared Ideology","Social movement coalitions present unique opportunities and challenges for collective action as they bring together organizations, movements, and individuals who hold diverse interests and social positions. The literature suggests that collective identity and shared ideology both offer opportunities for bridging these differences, but few. have addressed their relative utility. Drawing on a case study of a university-based coalition of undocumented and citizen students working to build support for the federal DREAM Act, I find that a social justice ideology was used to facilitate fast-paced recruitment, create simplified participation guidelines based on legal status, and allow for the strategic renegotiation of participation. I argue that building a cross-status coalition through a shared ideology has two key advantages: (1) it allows for fast-paced coalition formation and (2) it promotes the mobilization and commitment of organizations and individuals who occupy different identities and social locations. Additionally, I suggest that conflict among members can be best negotiated through the development of discursive and interactive spaces that allow individuals to engage across their different social locations.",SOCIAL PROBLEMS,2014,61,2,social movements; coalitions; ideology; immigrant rights; undocumented youth,SOCIAL-MOVEMENTS; COLLECTIVE IDENTITY; POLITICS; PARTICIPATION; SUPPORT; PROTEST; WOMEN; PEACE,87,10,10,1,15,OXFORD UNIV PRESS INC,CARY,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0037-7791,1533-8533,,SOC PROBL,Soc. Probl.,MAY,10.1525/sp.2014.12032,AG7OU,WOS:000335608300001,4,2.5
"Barberena, L; Jimenez, H; Young, MP","Barberena, Laura; Jimenez, Hortencia; Young, Michael P.","It Just Happened"": Telescoping Anxiety, Defiance, and Emergent Collective Behavior in the Student Walkouts of 2006","In one week in the spring of 2006 more than 100,000 students walked out of schools all across America to protest the threat of HR. 4437 to immigrants. Drawing on 50 interviews with students, educators, and community activists involved in 11 walkouts across five Texas metropolitan areas, we reconstruct the lived experience of these spontaneous protests. We identify three tightly interrelated aspects of a social and psychological process shaping these protests: the relationship between political threat and telescoping anxiety; the role of defiance and its emotion-switching effect; and the emergent and situational nature of the walkouts. We argue that the collective psychological process of telescoping anxiety punctuated by the situational thrill of defiance is indispensable in explaining these massive, far-flung, and spontaneous protests.",SOCIAL PROBLEMS,2014,61,1,social movements; emotions; collective behavior; anxiety; political threat,UNITED-STATES; THREAT; PROTEST; MODELS; MOBILIZATION; RESISTANCE; PRAGMATISM; EMOTIONS,87,1,1,1,13,OXFORD UNIV PRESS INC,CARY,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0037-7791,1533-8533,,SOC PROBL,Soc. Probl.,FEB,10.1525/sp.2013.11153,300VQ,WOS:000330492500003,4,.25
"DiGrazia, J","DiGrazia, Joseph",Individual Protest Participation in the United States: Conventional and Unconventional Activism,"Objectives This study addresses differences in the predictors of participation in different forms of protest activity using nationally representative data. The two types of protest examined, referred to as conventional and unconventional forms of activism, are differentiated by differing levels of risk, demands, and political legitimacy. Methods The analysis uses multinominal logistic regression and data from the World Values Survey to assess the effects of a wide range of independent variables on participation in protest. Results The results indicate that participation in conventional forms of protest, activities that are relatively undemanding, socially legitimate, and low risk, tend to follow patterns that are consistent with participation in institutional politics. That is, participants in this form of activism tend to be socially privileged and ideologically moderate. Participants in unconventional protest, those that are highly demanding, socially illegitimate, or carry substantial risks, tend to be more ideologically extreme, socially disadvantaged, and more alienated from the conventional political system. Conclusions The findings in this study suggest that the lack of consistency in some existing research on protest participation may be attributable to differences in the predictors of participation associated with different forms of protest. This study indicates that protest participation is not a unitary construct and should not be treated as one in research.",SOCIAL SCIENCE QUARTERLY,2014,95,1,,POLITICAL-ACTION; SANCTUARY MOVEMENT; COLLECTIVE ACTION; SOCIAL-MOVEMENTS; RATIONAL CHOICE; BEHAVIOR; MOBILIZATION; RECRUITMENT; OPPORTUNITY; RESOURCES,49,2,2,3,33,WILEY-BLACKWELL,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0038-4941,1540-6237,,SOC SCI QUART,Soc. Sci. Q.,MAR,10.1111/ssqu.12048,AA9TT,WOS:000331436500006,4,.5
"Kretschmer, K","Kretschmer, Kelsy",Shifting Boundaries and Splintering Movements: Abortion Rights in the Feminist and New Right Movements,"Social movement boundaries are fundamentally about deciding who we are by defining who we are not. However, newly salient issues in a movement community can shift these boundaries by changing the membership criteria for both insiders and outsiders. Through a comparative case study of two relatively conservative feminist organizations, Women's Equity Action League (WEAL) and Feminists for Life (FFL), I examine how shifting boundaries around abortion rights in the feminist movement led to movement splintering, as organizations struggled and sometimes failed to maintain their relationships in a movement that increasingly defined them as outsiders. This analysis reveals how abortion rights' growing importance to both the feminist movement and the New Right resulted in the realignment of FFL with the feminist countermovement. This process had important consequences for both the organization and the countermovement with which it was realigned. This article contributes to our understanding of how shifting boundaries affect individual organizations, the movements in which they participate, and the relationships between countermovements.",SOCIOLOGICAL FORUM,2014,29,4,countermovement; feminist movement; membership; organizations; politics; symbolic boundaries,SOCIAL-MOVEMENTS; WOMENS MOVEMENT; IDENTITIES,45,4,4,2,9,WILEY-BLACKWELL,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0884-8971,1573-7861,,SOCIOL FORUM,Sociol. Forum,DEC,10.1111/socf.12125,AU8NR,WOS:000345853700007,4,1
"Prior, FB","Prior, Francis B.",Quality Controlled: An Ethnographic Account of Tea Party Messaging and Action,"What strategies do Tea Party movement organizers use to achieve frame alignment, that is, uniformity of grievance, purpose, and action, with their participants? Evidence to answer this question is gathered from a year-length participant-observation case study of one city-based Tea Party organization, primarily through the meetings of its localized grassroots chapters. Principal findings are that Tea Party organizers employ quality control of off-message grievances, for example, abortion, as well as any action or communication that would or could be perceived as racially prejudicial, or otherwise inflammatory. Formally, these findings demonstrate the influence of organizational hierarchy on grassroots practice. Substantively, they demonstrate the complex relationship between a broader conservative ideological repertoire as empirically deployed by participants, and the more focused frame alignment attempts of a particular social movement organization. In short, the findings elucidate the importance of interaction and organizational structure as they influence social movement messaging and action.",SOCIOLOGICAL FORUM,2014,29,2,cultural repertoires; framing; ideology; politics; social movements; Tea Party,NUCLEAR DISARMAMENT MOVEMENT; STRATEGIC ACTION FIELDS; SOCIAL-MOVEMENTS; FRAMING PROCESSES; RESONANCE; CULTURE; MICROMOBILIZATION; LEADERSHIP; DISCOURSE; DISPUTES,84,5,5,2,15,WILEY-BLACKWELL,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0884-8971,1573-7861,,SOCIOL FORUM,Sociol. Forum,JUN,10.1111/socf.12085,AJ3TE,WOS:000337589500002,4,1.25
"Burke, MC; Bernstein, M","Burke, Mary C.; Bernstein, Mary",How the Right Usurped the Queer Agenda: Frame Co-optation in Political Discourse,"This article draws on a case study of lesbian, gay, bisexual, and transgender (LGBT) and queer politics in Vermont to explain the conditions under which radical discourse gains and loses a public voice. In contrast to claims that the marginalization of queer discourse is due to silencing by LGBT rights activists or to litigation strategies, we argue that variation in queer discourse over time is the result of the co-optation of queer discourse and goals by opponents. Extending the social movement literature on frame variation, we argue that opponents co-opt discourse when they adopt aspects of the content of a movement's discourse, while subverting its intent. We show that conservative LGBT rights opponents co-opted queer discourse. As a result, queer positions lost their viability as the discursive field in which those arguments were made was fundamentally altered. Because queer positions became less tenable, we see the withdrawal of queer discourse from the mainstream and alternative LGBT media. Our work both supports and builds on research on frame variation by demonstrating how discourse can change over time in response to the interplay between changing aspects of the political and cultural landscape and the discourse of opponents.",SOCIOLOGICAL FORUM,2014,29,4,co-optation; framing theory; lesbian and gay movement; LGBT rights; queer politics; same-sex marriage; social movements,SAME-SEX MARRIAGE; UNITED-STATES; MOVEMENT; GAY; IDENTITY; CITIZENSHIP; CRITIQUE; CHOICE; LIMITS,72,9,9,2,21,WILEY-BLACKWELL,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0884-8971,1573-7861,,SOCIOL FORUM,Sociol. Forum,DEC,10.1111/socf.12122,AU8NR,WOS:000345853700004,4,2.25
"Osinsky, P; Eloranta, J","Osinsky, Pavel; Eloranta, Jari","Why Did the Communists Win or Lose? A Comparative Analysis of the Revolutionary Civil Wars in Russia, Finland, Spain, and China","According to classic interpretations of the communist revolutions, political mobilization of peasantry was critical for the success of the revolutionary forces. This article, which reexamines the experience of civil wars in Russia, Finland, Spain, and China, argues that peasants' contribution to the revolutions in Russia and later in China became possible under two historical conditions: breakdown of state authorities during the mass mobilization wars and existence of an unresolved agrarian problem in the countryside. Neither of these conditions alone, as the experience of other countries has shown, was sufficient for a success of the revolutionaries. The Spanish civil war of 1936-1939, for instance, was not preceded by a major international war. Because institutions of the traditional social order had not been undermined by war, Franco was able to defeat the Popular Front government, despite the peasants' support of the revolution. In the Finnish civil war of 1918, which broke out in the wake of World War I and the Russian Revolution, state institutions did not collapse completely and the peasantry was divided in their responses to the revolution; the rural smallholders, for example, aligned with the Mannerheim's White army, not with the urban revolutionaries.",SOCIOLOGICAL FORUM,2014,29,2,civil wars; communist revolutions; peasantry; political institutions; social movements; the state,RED; WHITE,113,1,1,3,12,WILEY-BLACKWELL,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0884-8971,1573-7861,,SOCIOL FORUM,Sociol. Forum,JUN,10.1111/socf.12086,AJ3TE,WOS:000337589500003,4,.25
"Haydu, J","Haydu, Jeffrey","Consumer Citizenship and Cross-Class Activism: The Case of the National Consumers' League, 1899-1918","Political consumerism is often criticized for its failure to cross class lines, a failure linked to the economic resources and cultural capital of affluent consumers. The early history of the National Consumers' League (NCL) illustrates how an alternative model of consumer citizenship can lead privileged shoppers to draw social boundaries in different ways. The NCL included lower-class women and children as beneficiaries and occasional allies in consumer campaigns, but distanced itself from the organized labor movement. This alternative model of political consumerism is traced to the gender and class cultures of reformist women in the Progressive Era.",SOCIOLOGICAL FORUM,2014,29,3,boundaries; class; gender; labor; political consumerism; social movements,COMMUNITY-SUPPORTED AGRICULTURE; LOCAL FOOD; SOCIAL-MOVEMENTS; POLITICS; CONSUMPTION; CAMPAIGNS; JUSTICE; ENGAGEMENT; COALITION; PROTEST,94,0,0,0,9,WILEY-BLACKWELL,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0884-8971,1573-7861,,SOCIOL FORUM,Sociol. Forum,SEP,10.1111/socf.12107,AO2YV,WOS:000341195600006,4,0
"Albert, K","Albert, Kyle",Labor Union Political Strategy in an Era of Decline and Revitalization,"U.S. labor unions faced sharp membership losses over the last few decades, and some responded by ushering in a new, revitalized model of organizing. Yet we know little about how these forces may be shaping the political activities of the labor movement. Has crisis prompted unions to take aim at public policies inhibiting union vitality, or have unions turned outward to embrace broader social causes? This paper uses an original dataset of union appearances in congressional hearings to analyze unions' legislative advocacy activities. Findings suggest substantial differences between those unions that are likely to appear in hearings on core labor-related topics and those that appear in hearings on broad social issues: AFL-CIO unions are more likely to participate in hearings on core labor issues, while unions commonly cited as revitalized and public sector unions are more likely to appear in hearings on broad social issues.",SOCIOLOGICAL INQUIRY,2014,84,2,,SOCIAL-MOVEMENTS; AFL-CIO; ORGANIZATIONS; OPPORTUNITY; CHALLENGES; ECONOMY; STRIKES; THREAT; WIN,54,1,1,2,9,WILEY-BLACKWELL,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0038-0245,1475-682X,,SOCIOL INQ,Sociol. Inq.,MAY,10.1111/soin.12035,AF4HL,WOS:000334672500003,4,.25
"Ortiz, DG; Ostertag, SF","Ortiz, David G.; Ostertag, Stephen F.",Katrina Bloggers and the Development of Collective Civic Action: The Web as a Virtual Mobilizing Structure,"Scholarship on collective civic action helps link collective-level contentious actions and individual-level civic engagement. Using longitudinal data from a group of New Orleans residents who started blogging in the wake of hurricane Katrina, we highlight the digitally mediated social processes linking individual civic engagement with collective civic actions. Through a developmental approach, we analyze the progression from individual blogging to the creation of social networks, the formation of a community of ""Katrina bloggers,"" and their engagement on a range of offline collective civic actions. We argue that the Web serves as a ""virtual"" mobilizing structure, enabling individuals with shared concerns to organize across time and space, without the need of copresence or preexisting formal ties, networks, or organizations. Our analysis provides insights into the development of virtual communities and social movements formed around collective identities and processes of collective efficacy that highlight the dynamics of contention in civil society.",SOCIOLOGICAL PERSPECTIVES,2014,57,1,collective civic action; social movements; blogging; civic engagement; community; collective identity; collective efficacy; civil society,HURRICANE-KATRINA; DIGITAL MEDIA; PARTICIPATION; ASSOCIATIONS; COMMUNITY; INTERNET; ENGAGEMENT; SOCIETY; CRIME,78,5,5,3,16,SAGE PUBLICATIONS INC,THOUSAND OAKS,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA",0731-1214,1533-8673,,SOCIOL PERSPECT,Sociol. Perspect.,SPR,10.1177/0731121413517558,AF5YR,WOS:000334791500004,4,1.25
"Saito, H; Wang, Y","Saito, Hiro; Wang, Yoko",Competing Logics of Commemoration: Cosmopolitanism and Nationalism in East Asia's History Problem,"Recent studies in collective memory point to the emergence of cosmopolitan commemoration that takes humanity, rather than nationality, as a primary frame of reference. But these studies have yet to specify how cosmopolitan commemoration emerges and articulates with existing nationalist commemoration. To solve this problem, we examine the ""history problem"" between Japan and South Korea by focusing on how relevant political and civic actors negotiated cosmopolitanism and nationalism in commemorating Japan's past colonial rule and wartime atrocities. In light of our historical analysis, we argue that a synthesis of theories of institutional logics and social movements is useful in illuminating how the emergence of cosmopolitan commemoration is embedded in specific networks of political and civic actors as mobilizing structures, and how the content and trajectory of its articulation with nationalist commemoration depends on political opportunities available to competing networks aligned differently with the two logics of commemoration.",SOCIOLOGICAL PERSPECTIVES,2014,57,2,collective memory; cosmopolitanism; nationalism; institutional logics; social movement,SOCIAL-MOVEMENTS; MEMORY,72,5,5,4,11,SAGE PUBLICATIONS INC,THOUSAND OAKS,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA",0731-1214,1533-8673,,SOCIOL PERSPECT,Sociol. Perspect.,SUM,10.1177/0731121414524176,AM8LX,WOS:000340128100002,4,1.25
"Borland, E","Borland, Elizabeth","Storytelling, Identity, and Strategy: Perceiving Shifting Obstacles in the Fight for Abortion Rights in Argentina","How do activists perceive and interpret changing obstacles and opportunities? Studying narratives can help us to address unanswered questions about activist perception and attribution of the opportunity structure. I analyze the stories told by activists in the movement to legalize abortion in Buenos Aires, Argentina, drawing on ethnographic and interview data from three periods of fieldwork over the last 15 years. Although they talked about obstacles in many ways, I find that activists turned to storytelling when their hopeful expectations about politicians were disappointed. Stories about powerful allies are part of a social movement's discursive repertoire that acts as a foundation for later interactions. Interpreting motives for past actions through storytelling helps activists to deliberate about practical responses and to imagine future tactics. Narrative study is a fruitful way to examine how people perceive opportunities and can help us understand how prior experiences shape present deliberation and future strategy.",SOCIOLOGICAL PERSPECTIVES,2014,57,4,social movements; narratives; identity,BUENOS-AIRES; NARRATIVES; PROTEST; MEMORY,45,2,3,0,13,SAGE PUBLICATIONS INC,THOUSAND OAKS,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA",0731-1214,1533-8673,,SOCIOL PERSPECT,Sociol. Perspect.,WIN,10.1177/0731121414536884,AT0QB,WOS:000344639100005,4,.75
"Adler, G; Hoegeman, C; West, AJ","Adler, Gary, Jr.; Hoegeman, Catherine; West, A. Joseph",Congregational Political Activity and Same-Sex Marriage: Social Movement Theory and Evidence for Contextual Influence,"We interpret three strands of social movement theory (social threat, opportunity structure, and resource mobilization) to understand religious congregations' political activity related to same-sex marriage. Using a unique, national data set from the 2008 presidential election, we show the importance of the anti-same-sex marriage discursive opportunity structure (DOS) for facilitating, and occasionally constraining, congregational political activity. Other theoretical factors influence congregations under limited, although important, conditions. Our research develops a nuanced understanding of congregations' roles in social movements that prioritize institutionalized political activity and expands DOS theory in relation to local religious organizations.",SOCIOLOGICAL QUARTERLY,2014,55,3,,UNITED-STATES; RELIGIOUS CONGREGATIONS; GAY MARRIAGE; CULTURE; HOMOSEXUALITY; ORGANIZATIONS; MOBILIZATION; COMMUNITIES; LESBIANS; POLICIES,133,0,0,0,20,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0038-0253,1533-8525,,SOCIOL QUART,Sociol. Q.,SUM,10.1111/tsq.12060,AJ3NJ,WOS:000337573200006,4,0
"Kreiss, D","Kreiss, Daniel","The Virtues of Participation without Power: Campaigns, Party Networks, and the Ends of Politics","Following Francesca Polletta's call to reconsider participatory democracy in a new millennium, this article analyzes and makes a normative case for institutional and partisan forms of participation without decision making. I draw on field research and interviews conducted over the last decade on Democratic Party campaigns to argue against contemporary denunciations of partisanship and critiques of institutional participation by radical democrats. First, this article discusses the opportunities available for citizens to participate in electoral politics. Volunteering is often limited to fund-raising and instrumental voter contacts given the constraints of electoral institutions. Although campaign volunteerism is a fundamentally limited form of civic engagement, institutional and partisan participation has democratic value. Campaigns are institutionally linked to political parties that offer distinct moral, ideological, and policy choices to citizens. Recent analytical and empirical work shows that contemporary political parties are constituted by relatively coherent networks of civil society and social movement organizations that devote considerable resources to electoral politics to shape primary and general election outcomes and advance their agendas in governance. This reveals electoral participation to be tightly linked to larger partisan dynamics and institutional sites of power.",SOCIOLOGICAL QUARTERLY,2014,55,3,,OCCUPY WALL-STREET; AMERICAN POLITICS; ANTIWAR MOVEMENT; UNITED-STATES; DEMOCRACY; CULTURE,37,7,7,1,18,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0038-0253,1533-8525,,SOCIOL QUART,Sociol. Q.,SUM,10.1111/tsq.12068,AJ3NJ,WOS:000337573200005,4,1.75
